#energia_keV	cuentas	canal
225.0165	952	823
225.3039	953	824
225.5913	887	825
225.8788	914	826
226.1662	944	827
226.4536	948	828
226.7411	898	829
227.0285	972	830
227.3159	858	831
227.6033	910	832
227.8908	945	833
228.1782	900	834
228.4656	960	835
228.7531	929	836
229.0405	887	837
229.3279	879	838
229.6154	916	839
229.9028	927	840
230.1902	867	841
230.4776	991	842
230.7651	914	843
231.0525	846	844
231.3399	857	845
231.6274	897	846
231.9148	884	847
232.2022	933	848
232.4897	893	849
232.7771	900	850
233.0645	849	851
233.3519	893	852
233.6394	902	853
233.9268	892	854
234.2142	896	855
234.5017	860	856
234.7891	874	857
235.0765	897	858
235.3639	887	859
235.6514	891	860
235.9388	904	861
236.2262	873	862
236.5137	858	863
236.8011	832	864
237.0885	880	865
237.3760	893	866
237.6634	868	867
237.9508	819	868
238.2382	908	869
238.5257	891	870
238.8131	877	871
239.1005	832	872
239.3880	781	873
239.6754	814	874
239.9628	858	875
240.2503	856	876
240.5377	846	877
240.8251	844	878
241.1125	855	879
241.4000	848	880
241.6874	848	881
241.9748	828	882
242.2623	895	883
242.5497	872	884
242.8371	841	885
243.1246	923	886
243.4120	868	887
243.6994	865	888
243.9868	819	889
244.2743	883	890
244.5617	860	891
244.8491	879	892
245.1366	847	893
245.4240	835	894
245.7114	906	895
245.9988	871	896
246.2863	850	897
246.5737	822	898
246.8611	870	899
247.1486	864	900
247.4360	847	901
247.7234	821	902
248.0109	840	903
248.2983	820	904
248.5857	797	905
248.8731	815	906
249.1606	821	907
249.4480	797	908
249.7354	837	909
250.0229	861	910
250.3103	834	911
250.5977	753	912
250.8852	811	913
251.1726	841	914
251.4600	841	915
251.7474	814	916
252.0349	802	917
252.3223	762	918
252.6097	813	919
252.8972	849	920
253.1846	790	921
253.4720	830	922
253.7595	817	923
254.0469	772	924
254.3343	816	925
254.6217	834	926
254.9092	779	927
255.1966	784	928
255.4840	757	929
255.7715	769	930
256.0589	788	931
256.3463	720	932
256.6337	792	933
256.9212	789	934
257.2086	751	935
257.4960	811	936
257.7835	808	937
258.0709	779	938
258.3583	792	939
258.6458	747	940
258.9332	776	941
259.2206	743	942
259.5080	751	943
259.7955	796	944
260.0829	771	945
260.3703	756	946
260.6578	792	947
260.9452	806	948
261.2326	745	949
261.5201	727	950
261.8075	767	951
262.0949	705	952
262.3823	834	953
262.6698	758	954
262.9572	743	955
263.2446	753	956
263.5321	740	957
263.8195	755	958
264.1069	774	959
264.3943	692	960
264.6818	755	961
264.9692	728	962
265.2566	772	963
265.5441	731	964
265.8315	716	965
266.1189	797	966
266.4064	707	967
266.6938	779	968
266.9812	731	969
267.2686	700	970
267.5561	752	971
267.8435	694	972
268.1309	738	973
